,Chords,Notes,Degrees
145,Caug13,"['do', 'mi', 'sols', 'las', 're', 'mis', 'la']","[1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0]"
146,Caug11b913b,"['do', 'mi', 'sols', 'las', 'dos', 'mis', 'sols']","[1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0]"
147,Caug1113b,"['do', 'mi', 'sols', 'las', 're', 'mis', 'sols']","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0]"
148,Cs7,"['dos', 'mis', 'sols', 'si']","[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
149,Csmaj7,"['dos', 'mis', 'sols', 'do']","[1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
150,Cs9,"['dos', 'mis', 'sols', 'si', 'res']","[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]"
151,Csmaj9,"['dos', 'mis', 'sols', 'do', 'res']","[1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
152,Csmajs9,"['dos', 'mis', 'sols', 'do', 'mi']","[1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
153,Csb9,"['dos', 'mis', 'sols', 'si', 're']","[0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
154,Csb79,"['dos', 'mis', 'sols', 'las', 'res']","[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]"
155,Csb7b9,"['dos', 'mis', 'sols', 'las', 're']","[0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0]"
156,Cs7b9,"['dos', 'mis', 'sols', 'si', 're']","[0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
157,Cs7sus2,"['dos', 'mis', 'sols', 'dos', 'res', 'sols', 'si']","[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]"
158,Csmaj7sus2,"['dos', 'mis', 'sols', 'dos', 'res', 'sols', 'do']","[1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
159,Cs7sus4,"['dos', 'mis', 'sols', 'dos', 'fas', 'sols', 'si']","[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1]"
160,Csmaj7sus4,"['dos', 'mis', 'sols', 'dos', 'fas', 'sols', 'do']","[1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
161,Csadd9,"['dos', 'mis', 'sols', 'res']","[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
162,Csadd11,"['dos', 'mis', 'sols', 'fas']","[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
163,Csadd13,"['dos', 'mis', 'sols', 'las']","[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]"
164,Cs11s,"['dos', 'mis', 'sols', 'si', 'res', 'sol']","[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1]"
165,Cs11b9,"['dos', 'mis', 'sols', 'si', 're', 'fas']","[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1]"
166,Csmajs911s,"['dos', 'mis', 'sols', 'do', 'mi', 'sol']","[1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0]"
167,Csb711b9,"['dos', 'mis', 'sols', 'las', 're', 'fas']","[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]"
168,Csmaj11,"['dos', 'mis', 'sols', 'do', 'res', 'fas']","[1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
169,Csmaj911s,"['dos', 'mis', 'sols', 'do', 'res', 'sol']","[1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]"
170,Cs11,"['dos', 'mis', 'sols', 'si', 'res', 'fas']","[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1]"
171,Csb11b9,"['dos', 'mis', 'sols', 'si', 're', 'mis']","[0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
172,Cs13b11b9b,"['dos', 'mis', 'sols', 'si', 're', 'mis', 'la']","[0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]"
173,Cs13b9,"['dos', 'mis', 'sols', 'si', 're', 'fas', 'las']","[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1]"
174,Cs1311s,"['dos', 'mis', 'sols', 'si', 'res', 'sol', 'las']","[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1]"
175,Cs13b,"['dos', 'mis', 'sols', 'si', 'res', 'fas', 'la']","[0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1]"
176,Csmaj13b,"['dos', 'mis', 'sols', 'do', 'res', 'fas', 'la']","[1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0]"
177,Cs13bb9,"['dos', 'mis', 'sols', 'si', 're', 'fas', 'la']","[0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]"
178,Csmaj13s911s,"['dos', 'mis', 'sols', 'do', 'mi', 'sol', 'las']","[1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0]"
179,Csb713b9,"['dos', 'mis', 'sols', 'las', 're', 'fas', 'la']","[0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0]"
180,Csmaj13,"['dos', 'mis', 'sols', 'do', 'res', 'fas', 'las']","[1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
181,Csmaj1311s,"['dos', 'mis', 'sols', 'do', 'res', 'sol', 'las']","[1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]"
182,Cs13,"['dos', 'mis', 'sols', 'si', 'res', 'fas', 'las']","[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1]"
183,Cs11b913b,"['dos', 'mis', 'sols', 'si', 're', 'fas', 'la']","[0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]"
184,Cs1113b,"['dos', 'mis', 'sols', 'si', 'res', 'fas', 'la']","[0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1]"
